"Sample","Metallophore","CC","fitted_prob","fitted_class"
"CA-1",1,"CC1",0.999999999569498,1
"CA-2",1,"CC15",0.999999999569498,1
"CA-3",1,"CC1",0.999999999569498,1
"CA-5",1,"CC121",0.947368421052631,1
"CA-7",1,"CC15",0.999999999569498,1
"CA-8",1,"CC121",0.947368421052631,1
"CA-9",1,"CC97",0.999999999569498,1
"CA-10",1,"CC1",0.999999999569498,1
"CA-11",1,"UD",0.999999999569498,1
"CA-12",1,"CC15",0.999999999569498,1
"CA-13",1,"CC1",0.999999999569498,1
"CA-14",1,"CC1",0.999999999569498,1
"CA-15",1,"CC5",0.899999999999995,1
"CA-16",1,"CC121",0.947368421052631,1
"CA-17",1,"CC97",0.999999999569498,1
"CA-18",1,"CC121",0.947368421052631,1
"CA-19",1,"CC1",0.999999999569498,1
"CA-20",1,"CC1",0.999999999569498,1
"CA-21",1,"UD",0.999999999569498,1
"CA-22",1,"CC1",0.999999999569498,1
"CA-23",1,"CC1",0.999999999569498,1
"CA-24",1,"CC30",0.999999999569498,1
"CA-25",1,"CC5",0.899999999999995,1
"CA-26",1,"CC5",0.899999999999995,1
"CA-27",1,"CC97",0.999999999569498,1
"CA-28",1,"CC1",0.999999999569498,1
"CA-29",1,"CC97",0.999999999569498,1
"CA-30",1,"CC121",0.947368421052631,1
"CA-31",1,"CC15",0.999999999569498,1
"CA-32",1,"CC22",0.999999999569498,1
"CA-33",1,"CC8",0.909090909090907,1
"CA-35",1,"CC15",0.999999999569498,1
"CA-36",1,"CC15",0.999999999569498,1
"CA-38",1,"CC30",0.999999999569498,1
"CA-39",1,"CC15",0.999999999569498,1
"CA-40",1,"CC5",0.899999999999995,1
"CA-41",1,"CC15",0.999999999569498,1
"CA-42",1,"UD",0.999999999569498,1
"CA-43",1,"UD",0.999999999569498,1
"CA-45",1,"CC8",0.909090909090907,1
"CA-46",1,"CC121",0.947368421052631,1
"CA-49",1,"CC121",0.947368421052631,1
"CA-50",1,"CC1",0.999999999569498,1
"CA-52",1,"CC97",0.999999999569498,1
"CA-53",1,"CC121",0.947368421052631,1
"CA-54",1,"CC1",0.999999999569498,1
"CA-56",0,"CC8",0.909090909090907,1
"CA-55",1,"CC97",0.999999999569498,1
"CA-57",1,"CC97",0.999999999569498,1
"CA-59",1,"CC1",0.999999999569498,1
"CA-60",1,"CC1",0.999999999569498,1
"CA-62",1,"CC97",0.999999999569498,1
"CA-63",1,"CC1",0.999999999569498,1
"CA-64",1,"CC97",0.999999999569498,1
"CA-66",1,"CC121",0.947368421052631,1
"CA-68",1,"CC121",0.947368421052631,1
"CA-74",1,"CC8",0.909090909090907,1
"CA-76",1,"CC121",0.947368421052631,1
"CA-77",0,"CC121",0.947368421052631,1
"CA-78",1,"CC8",0.909090909090907,1
"CA-86",1,"CC5",0.899999999999995,1
"CA-87",0,"CC5",0.899999999999995,1
"CA-88",1,"UD",0.999999999569498,1
"CA-91",1,"CC22",0.999999999569498,1
"CA-92",1,"CC1",0.999999999569498,1
"CA-93",1,"CC22",0.999999999569498,1
"CA-94",1,"CC8",0.909090909090907,1
"CA-95",1,"UD",0.999999999569498,1
"CA-96",1,"CC15",0.999999999569498,1
"CA-101",1,"CC15",0.999999999569498,1
"CA-104",1,"CC5",0.899999999999995,1
"CA-105",1,"CC1",0.999999999569498,1
"CA-107",1,"UD",0.999999999569498,1
"CA-108",1,"CC8",0.909090909090907,1
"CA-112",1,"CC1",0.999999999569498,1
"CA-115",1,"CC1",0.999999999569498,1
"CA-117",1,"CC121",0.947368421052631,1
"CA-118",1,"CC121",0.947368421052631,1
"CA-119",1,"CC97",0.999999999569498,1
"CA-127",1,"CC121",0.947368421052631,1
"CA-128",1,"CC1",0.999999999569498,1
"CA-129",1,"CC22",0.999999999569498,1
"CA-130",1,"CC5",0.899999999999995,1
"CA-131",1,"CC8",0.909090909090907,1
"CA-132",1,"CC1",0.999999999569498,1
"CA-138",1,"CC8",0.909090909090907,1
"CA-140",1,"CC22",0.999999999569498,1
"CA-141",1,"CC8",0.909090909090907,1
"CA-142",1,"CC121",0.947368421052631,1
"CA-143",1,"CC22",0.999999999569498,1
"CA-146",1,"CC1",0.999999999569498,1
"CA-148",1,"CC8",0.909090909090907,1
"CA-150",1,"UD",0.999999999569498,1
"CA-151",1,"CC1",0.999999999569498,1
"CA-152",1,"UD",0.999999999569498,1
"CA-153",1,"UD",0.999999999569498,1
"CA-154",1,"CC1",0.999999999569498,1
"CA-155",1,"CC22",0.999999999569498,1
"CA-156",1,"UD",0.999999999569498,1
"CA-158",1,"CC1",0.999999999569498,1
"CA-162",1,"CC1",0.999999999569498,1
"CA-163",1,"CC5",0.899999999999995,1
"CA-164",1,"CC121",0.947368421052631,1
"CA-165",1,"CC5",0.899999999999995,1
"CA-167",1,"CC1",0.999999999569498,1
"CA-168",1,"CC15",0.999999999569498,1
"CA-177",1,"CC15",0.999999999569498,1
"CA-185",1,"CC97",0.999999999569498,1
"CA-186",1,"CC30",0.999999999569498,1
"CA-187",1,"UD",0.999999999569498,1
"CA-190",1,"UD",0.999999999569498,1
"CA-198",1,"CC121",0.947368421052631,1
"CA-200",1,"CC121",0.947368421052631,1
"Ref-1",1,"CC97",0.999999999569498,1
"Ref-2",1,"CC97",0.999999999569498,1
"Ref-3",1,"CC97",0.999999999569498,1
